time,n1,n2,n3,n4,n5,n6,n7
111,23.3,32.3,83.7,47.1,36.7,36.7,24
112,23.3,32.3,84.1,47.3,36.8,36.7,24
113,23.3,32.3,84.7,47.4,36.8,36.8,23.9
114,23.4,32.3,84.9,47.6,36.9,36.8,24
115,23.4,32.4,85.7,47.8,37,36.9,24
116,23.4,32.4,85.8,47.9,37,37,24
117,23.3,32.4,86.4,48.1,37.1,37,24
118,23.3,32.4,86.9,48.2,37.1,37.1,24
119,23.3,32.5,86.9,48.4,37.2,37.2,24
120,23.3,32.5,87.8,48.6,37.2,37.2,24.1
121,23.3,32.6,88.3,48.7,37.3,37.2,24.1
122,23.3,32.5,88.2,48.8,37.3,37.2,23.9
123,23.3,32.6,88.8,48.9,37.3,37.3,23.9
124,23.2,32.6,89.4,49.1,37.4,37.4,23.9
125,23.3,32.6,90,49.3,37.5,37.4,23.9
126,23.2,32.6,90.4,49.5,37.5,37.5,24
127,23.2,32.7,91.2,49.7,37.6,37.6,24
128,23.2,32.8,91.4,49.8,37.7,37.6,24.1
129,23.2,32.8,91.9,50,37.8,37.7,24
130,23.3,32.8,92.4,50.1,37.8,37.8,24.1
131,23.3,32.8,92.8,50.3,37.8,37.8,24.1
132,23.4,32.9,93.3,50.5,37.9,37.8,24.1
133,23.4,33.1,94,50.7,38.1,38,24.1
134,23.4,33.1,94.5,50.9,38.1,38.1,24.1
135,23.4,33.1,94.9,51.2,38.2,38.1,24.1
136,23.4,33.1,95.5,51.3,38.2,38.1,24.1
137,23.4,33.2,95.8,51.5,38.3,38.3,24.1
138,23.4,33.2,96.4,51.7,38.3,38.3,24.1
139,23.4,33.2,96.9,51.8,38.4,38.5,24.2
140,23.4,33.3,97.3,52.1,38.5,38.5,24.2
141,23.4,33.4,98,52.3,38.6,38.6,24.1
142,23.3,33.4,98.4,52.5,38.6,38.6,24.1
143,23.3,33.4,98.9,52.6,38.7,38.6,24.2
144,23.3,33.4,99.2,52.8,38.7,38.7,24.1
145,23.3,33.4,99.6,52.9,38.8,38.8,24.1
146,23.3,33.5,100.1,53.1,39,38.9,24.1
147,23.3,33.6,100.7,53.2,39,39,24.1
148,23.3,33.6,101.1,53.4,39.1,39,24.1
149,23.3,33.6,101.6,53.6,39.1,39.1,24.1
150,23.3,33.7,102.1,53.8,39.3,39.2,24.1
151,23.3,33.7,102.7,54,39.3,39.3,24.1
152,23.3,33.7,102.9,54.2,39.4,39.3,24.1
153,23.3,33.7,103.3,54.3,39.4,39.4,24.2
154,23.3,33.8,104,54.6,39.6,39.5,24.1
155,23.4,33.9,104.5,54.8,39.7,39.7,24.2
156,23.3,33.9,105.1,55.1,39.8,39.7,24.3
157,23.3,34,105.4,55.2,39.8,39.8,24.3
158,23.3,34.1,106.1,55.4,39.9,39.9,24.3
159,23.3,34.1,106.4,55.6,40.1,40.1,24.3
160,23.3,34.1,107,55.8,40.1,40.1,24.3
161,23.4,34.1,107.4,56,40.3,40.2,24.3
162,23.4,34.2,108.1,56.2,40.3,40.3,24.4
163,23.4,34.2,108.6,56.4,40.4,40.4,24.3
164,23.4,34.3,109,56.6,40.4,40.4,24.4
165,23.4,34.3,109.3,56.8,40.6,40.6,24.4
166,23.4,34.4,109.6,56.9,40.7,40.6,24.3
167,23.4,34.4,110.5,57.1,40.8,40.8,24.3
168,23.4,34.5,110.9,57.3,40.8,40.8,24.3
169,23.4,34.5,111.3,57.5,40.9,40.9,24.4
170,23.4,34.5,111.5,57.6,41.1,41,24.3
171,23.4,34.6,112.2,57.8,41.2,41.1,24.4
172,23.4,34.6,112.4,58,41.3,41.2,24.4
173,23.4,34.7,113.1,58.3,41.4,41.3,24.4
174,23.4,34.8,113.2,58.4,41.5,41.4,24.4
175,23.4,34.8,114,58.7,41.6,41.5,24.5
176,23.4,34.9,114.3,58.8,41.7,41.6,24.5
177,23.4,34.9,114.6,59.1,41.8,41.7,24.5
178,23.4,34.9,115,59.2,42,41.8,24.5
179,23.4,35,115.9,59.4,42,41.9,24.5
180,23.4,35,116.3,59.6,42.1,42,24.5
181,23.5,35.2,116.9,59.8,42.2,42.1,24.5
182,23.5,35.2,117.2,60,42.3,42.2,24.5
183,23.5,35.2,117.6,60.2,42.4,42.3,24.5
184,23.4,35.3,117.2,60.3,42.5,42.4,24.5
185,23.4,35.4,117.9,60.6,42.6,42.5,24.5
186,23.4,35.4,118.3,60.8,42.7,42.6,24.5
187,23.4,35.5,119.2,60.9,42.8,42.6,24.4
188,23.4,35.6,119.6,61.1,42.9,42.8,24.4
189,23.4,35.6,120,61.3,43,42.9,24.5
190,23.4,35.7,120.7,61.5,43.1,43,24.5
191,23.4,35.7,121,61.7,43.2,43.1,24.5
192,23.4,35.8,121.6,61.8,43.4,43.2,24.5
193,23.4,35.8,122.5,62.1,43.4,43.2,24.6
194,23.4,35.9,122.2,62.4,43.5,43.4,24.5
195,23.4,36,122.5,62.6,43.7,43.4,24.5
196,23.4,36,122.7,62.8,43.8,43.7,24.6
197,23.4,36,123.6,62.9,43.9,43.8,24.6
198,23.4,36,124.1,63.1,44,44,24.6
199,23.3,36.1,124.4,63.2,44.2,44,24.6
200,23.3,36.2,124.8,63.4,44.2,44.2,24.6
201,23.3,36.2,125.4,63.6,44.4,44.3,24.6
202,23.4,36.3,125.8,63.8,44.5,44.4,24.6
203,23.3,36.4,126.2,64,44.6,44.5,24.6
204,23.3,36.5,126.8,64.2,44.7,44.6,24.6
205,23.4,36.5,127.2,64.3,44.9,44.7,24.6
206,23.3,36.6,127.4,64.5,44.9,44.9,24.6
207,23.3,36.7,128,64.7,45.1,44.9,24.6
208,23.4,36.7,128.4,64.9,45.2,45.1,24.6
209,23.4,36.8,128.7,65,45.4,45.2,24.6
210,23.4,36.8,128.9,65.3,45.5,45.2,24.7
211,23.4,36.9,129.6,65.4,45.6,45.4,24.7
212,23.4,37,130.1,65.6,45.7,45.5,24.7
213,23.4,37,130.5,65.7,45.8,45.6,24.7
214,23.4,37.1,131,66,46,45.8,24.7
215,23.4,37.2,131.2,66.3,46,45.9,24.7
216,23.4,37.2,131.4,66.4,46.1,46,24.7
217,23.3,37.3,132.4,66.7,46.3,46,24.7
218,23.4,37.3,131.9,66.8,46.3,46.2,24.7
219,23.4,37.4,131.9,67.1,46.5,46.1,24.7
220,23.4,37.5,132.2,67.4,46.6,46.3,24.7
221,23.3,37.5,132,67.4,46.7,46.3,24.7
222,23.3,37.5,132.4,67.5,46.8,46.5,24.6
223,23.3,37.5,133.1,67.6,46.9,46.6,24.7
224,23.3,37.7,133.7,67.7,47.1,46.8,24.7
225,23.3,37.8,134.7,67.9,47.2,46.9,24.6
226,23.4,37.8,134.8,68.1,47.4,47.1,24.7
227,23.4,37.9,135.6,68.1,47.4,47.2,24.6
228,23.4,38,136.1,68.3,47.6,47.4,24.7
229,23.4,38,136.3,68.6,47.8,47.4,24.7
230,23.4,38.1,136.5,68.7,47.9,47.5,24.7
231,23.3,38.1,136.7,68.9,48.1,47.7,24.7
232,23.3,38.2,137.4,68.9,48.2,47.8,24.7
233,23.3,38.2,137.9,69.2,48.3,48,24.7
234,23.4,38.3,138.3,69.4,48.5,48.1,24.7
235,23.4,38.5,138.7,69.6,48.6,48.3,24.7
236,23.3,38.5,139.1,69.8,48.7,48.4,24.8
237,23.4,38.6,139.5,70,48.8,48.5,24.9
238,23.4,38.6,140,70,49,48.6,24.8
239,23.4,38.7,140.4,70.3,49.1,48.8,24.8
240,23.3,38.8,140.7,70.4,49.3,48.9,24.8
241,23.3,38.9,141.2,70.6,49.4,49.1,24.8
242,23.3,39,141.1,70.7,49.5,49.2,24.8
243,23.3,39,141.8,71,49.7,49.3,24.9
244,23.4,39.1,142.5,71.3,49.8,49.4,24.9
245,23.3,39.3,143,71.4,49.9,49.6,24.8
246,23.3,39.3,143.3,71.5,50,49.7,24.9
247,23.3,39.4,143.3,71.7,50.1,49.8,24.8
248,23.3,39.4,143.8,71.8,50.4,50,24.9
249,23.2,39.5,144.2,72.1,50.5,50.2,24.9
250,23.3,39.6,144.5,72.3,50.6,50.3,24.9
251,23.3,39.6,144.9,72.4,50.8,50.4,25
252,23.3,39.7,145.3,72.6,50.8,50.6,25
253,23.3,39.8,145.6,72.7,51,50.7,24.9
254,23.4,39.9,146.1,73,51.2,50.9,25
255,23.4,40,146.4,73.2,51.3,51.1,25
256,23.4,40.1,147,73.3,51.4,51.1,25.1
257,23.3,40.1,147.3,73.5,51.6,51.4,25.1
258,23.4,40.3,147.7,73.7,51.8,51.5,25.1
259,23.4,40.3,147.9,73.8,51.9,51.7,25.1
260,23.4,40.4,148.4,74,52.1,51.8,25.1
261,23.4,40.4,148.9,74.1,52.2,51.9,25.2
262,23.4,40.5,149,74.4,52.4,52.1,25.2
263,23.4,40.6,149.7,74.6,52.5,52.1,25.2
264,23.4,40.7,150,74.7,52.6,52.3,25.2
265,23.4,40.8,150.4,74.9,52.8,52.5,25.2
266,23.4,40.9,150.6,75.1,52.9,52.5,25.2
267,23.4,40.9,150.7,75.3,53.1,52.8,25.3
268,23.4,41,151.3,75.5,53.2,52.9,25.4
269,23.4,41.1,151.6,75.7,53.4,53.1,25.5
270,23.4,41.2,152,75.8,53.5,53.2,25.5
271,23.4,41.2,152.3,76,53.6,53.4,25.5
272,23.4,41.4,152.7,76.2,53.8,53.5,25.6
273,23.4,41.5,153.1,76.3,54,53.7,25.6
274,23.4,41.6,153.5,76.5,54,53.8,25.6
275,23.4,41.6,153.8,76.7,54.3,54,25.6
276,23.4,41.7,154.2,76.9,54.3,54,25.7
277,23.4,41.8,154.6,77,54.6,54.3,25.7
278,23.4,41.9,155,77.2,54.7,54.4,25.7
279,23.4,42,155.3,77.3,54.9,54.6,25.8
280,23.4,42,155.6,77.5,55.1,54.7,25.9
281,23.4,42,155.9,77.7,55.2,54.8,25.9
282,23.4,42.2,156.3,78,55.4,55.1,25.9
283,23.4,42.3,156.6,78.1,55.5,55.1,25.9
284,23.4,42.3,156.9,78.3,55.7,55.3,26
285,23.4,42.5,157.2,78.4,55.8,55.5,26
286,23.4,42.6,157.6,78.7,55.9,55.6,26.1
287,23.4,42.6,157.9,78.8,56.1,55.8,26.1
288,23.4,42.7,158.2,79,56.3,55.9,26.2
289,23.4,42.8,158.6,79.2,56.4,56.1,26.2
290,23.4,42.9,158.9,79.4,56.6,56.2,26.3
291,23.4,43,159.2,79.5,56.8,56.4,26.3
292,23.4,43.1,159.6,79.7,56.9,56.5,26.3
293,23.4,43.1,159.9,79.9,57.1,56.7,26.4
294,23.4,43.2,160.3,80.1,57.2,56.9,26.4
295,23.4,43.4,160.6,80.2,57.4,57.1,26.4
296,23.4,43.5,160.7,80.4,57.5,57.2,26.4
297,23.4,43.5,161.2,80.7,57.7,57.3,26.4
298,23.4,43.5,161.5,80.9,57.8,57.4,26.4
299,23.4,43.6,161,81,57.9,57.5,26.3
300,23.4,43.7,161.6,81.2,58,57.7,26.3
301,23.4,43.8,162.2,81.4,58.2,57.9,26.3
302,23.4,43.8,162,81.5,58.3,58,26.4
303,23.4,44,162.5,81.7,58.4,58.1,26.4
304,23.4,44,162.4,81.8,58.6,58.3,26.4
